geometry,crossroad_count,road_length,shop_count,residential_area,commercial_area,industrial_area,railway_station_count,bicycle_lane_length,bus_station_count,start_count,end_count
"POLYGON ((121.1813943113648 30.98691269999999, 121.1813943113648 31.01771221189863, 121.1454617 31.01771221189863, 121.1454617 30.98691269999999, 121.1813943113648 30.98691269999999))",1,50336.96768354868,0,562347.5633722305,0.0,3289270.592271635,0,0.0,17,1,1
"POLYGON ((121.1813943113648 31.01771221189863, 121.1813943113648 31.04850177197812, 121.1454617 31.04850177197812, 121.1454617 31.01771221189863, 121.1813943113648 31.01771221189863))",10,62032.40408534861,2,2045154.2286466844,377636.5224102108,12515950.771673106,0,0.0,58,1,1
"POLYGON ((121.1813943113648 31.04850177197812, 121.1813943113648 31.07928137456562, 121.1454617 31.07928137456562, 121.1454617 31.04850177197812, 121.1813943113648 31.04850177197812))",0,49864.40560466245,0,817587.9322462219,348908.1048402977,386868.9016461974,0,4134.094785631323,23,1,1
"POLYGON ((121.1813943113648 31.07928137456562, 121.1813943113648 31.11005101400166, 121.1454617 31.11005101400166, 121.1454617 31.07928137456562, 121.1813943113648 31.07928137456562))",0,33740.49110125344,1,3207254.822643707,52330.775231851774,0.0,0,1350.2682699300829,50,1,1
"POLYGON ((121.1813943113648 31.11005101400166, 121.1813943113648 31.14081068464005, 121.1454617 31.14081068464005, 121.1454617 31.11005101400166, 121.1813943113648 31.11005101400166))",0,31957.13640010627,0,58278.05196171669,0.0,714749.5420672987,0,1309.766112422573,19,1,1
"POLYGON ((121.1813943113648 31.14081068464005, 121.1813943113648 31.17156038084794, 121.1454617 31.17156038084794, 121.1454617 31.14081068464005, 121.1813943113648 31.14081068464005))",14,75181.48198971259,1,1388982.4506612937,270578.5341923053,6856906.831491918,1,17651.1641310163,119,1,1
"POLYGON ((121.1813943113648 31.17156038084794, 121.1813943113648 31.2023000970058, 121.1454617 31.2023000970058, 121.1454617 31.17156038084794, 121.1813943113648 31.17156038084794))",4,87365.51060742486,0,609947.1242388941,19471.823275532923,7720390.838391871,1,0.0,48,1,1
"POLYGON ((121.1813943113648 31.2023000970058, 121.1813943113648 31.23302982750743, 121.1454617 31.23302982750743, 121.1454617 31.2023000970058, 121.1813943113648 31.2023000970058))",0,47560.14881469208,1,283755.05275182787,0.0,0.0,0,0.0,35,1,1
"POLYGON ((121.1813943113648 31.23302982750743, 121.1813943113648 31.26374956675991, 121.1454617 31.26374956675991, 121.1454617 31.23302982750743, 121.1813943113648 31.23302982750743))",0,24031.491781471064,3,1060562.7805596406,27993.8088008334,952858.3553450648,0,0.0,36,1,1
"POLYGON ((121.1813943113648 31.26374956675991, 121.1813943113648 31.29445930918367, 121.1454617 31.29445930918367, 121.1454617 31.26374956675991, 121.1813943113648 31.26374956675991))",10,78622.99579783503,50,3249784.6133266105,740792.5929141964,1154219.4323873967,1,5592.379115345747,46,1,1
"POLYGON ((121.1813943113648 31.29445930918367, 121.1813943113648 31.32515904921241, 121.1454617 31.32515904921241, 121.1454617 31.29445930918367, 121.1813943113648 31.29445930918367))",20,48393.85051746854,12,2156315.355951841,104381.41961215928,1625344.506730161,0,3298.0269041097104,57,1,1
"POLYGON ((121.1813943113648 31.32515904921241, 121.1813943113648 31.35584878129317, 121.1454617 31.35584878129317, 121.1454617 31.32515904921241, 121.1813943113648 31.32515904921241))",8,61715.73715402091,0,716664.0561440443,0.0,501371.3666123239,0,0.0,42,1,1
"POLYGON ((121.1813943113648 31.35584878129317, 121.1813943113648 31.38652849988624, 121.1454617 31.38652849988624, 121.1454617 31.35584878129317, 121.1813943113648 31.35584878129317))",9,41703.688010014215,1,775879.469869248,0.0,0.0,0,0.0,56,2,1
"POLYGON ((121.1813943113648 31.38652849988624, 121.1813943113648 31.41719819946523, 121.1454617 31.41719819946523, 121.1454617 31.38652849988624, 121.1813943113648 31.38652849988624))",0,32055.137648037587,0,0.0,0.0,0.0,0,0.0,20,1,1
"POLYGON ((121.1813943113648 31.41719819946523, 121.1813943113648 31.44785787451704, 121.1454617 31.44785787451704, 121.1454617 31.41719819946523, 121.1813943113648 31.41719819946523))",0,26234.83158789117,0,0.0,0.0,1154235.8719046186,0,0.0,18,1,1
"POLYGON ((121.1813943113648 31.44785787451704, 121.1813943113648 31.47850751954186, 121.1454617 31.47850751954186, 121.1454617 31.44785787451704, 121.1813943113648 31.44785787451704))",0,108528.14982459256,0,2592726.78760082,0.0,1161517.6311872597,0,0.0,7,1,1
"POLYGON ((121.1813943113648 31.47850751954186, 121.1813943113648 31.50914712905314, 121.1454617 31.50914712905314, 121.1454617 31.47850751954186, 121.1813943113648 31.47850751954186))",0,55873.19030684341,0,120133.332098195,0.0,468319.8977205104,0,0.0,1,1,1
"POLYGON ((121.2173269227296 30.98691269999999, 121.2173269227296 31.01771221189863, 121.1813943113648 31.01771221189863, 121.1813943113648 30.98691269999999, 121.2173269227296 30.98691269999999))",8,64000.69496173455,0,2119147.9186133654,80428.82186686633,648251.5677780336,0,0.0,109,1,1
"POLYGON ((121.2173269227296 31.01771221189863, 121.2173269227296 31.04850177197812, 121.1813943113648 31.04850177197812, 121.1813943113648 31.01771221189863, 121.2173269227296 31.01771221189863))",43,98870.63074498573,7,8575077.947312562,277841.3672185372,0.0,0,192.71026454382744,142,1,1
"POLYGON ((121.2173269227296 31.04850177197812, 121.2173269227296 31.07928137456562, 121.1813943113648 31.07928137456562, 121.1813943113648 31.04850177197812, 121.2173269227296 31.04850177197812))",10,67182.87639543002,1,1952118.342145795,23534.095356677928,0.0,0,4465.047584087618,65,1,1
"POLYGON ((121.2173269227296 31.07928137456562, 121.2173269227296 31.11005101400166, 121.1813943113648 31.11005101400166, 121.1813943113648 31.07928137456562, 121.2173269227296 31.07928137456562))",1,50579.30383077308,0,3000781.885089431,1564.6999560426946,0.0,0,7513.133546702276,34,1,1
"POLYGON ((121.2173269227296 31.11005101400166, 121.2173269227296 31.14081068464005, 121.1813943113648 31.14081068464005, 121.1813943113648 31.11005101400166, 121.2173269227296 31.11005101400166))",0,51962.823722453584,0,2146334.6086483244,0.0,3971149.992514636,0,13487.105196390828,106,1,1
"POLYGON ((121.2173269227296 31.14081068464005, 121.2173269227296 31.17156038084794, 121.1813943113648 31.17156038084794, 121.1813943113648 31.14081068464005, 121.2173269227296 31.14081068464005))",2,58172.75987049814,0,1827787.8725899607,0.0,1442805.8640980404,1,1850.1674150546112,65,2,3
"POLYGON ((121.2173269227296 31.17156038084794, 121.2173269227296 31.2023000970058, 121.1813943113648 31.2023000970058, 121.1813943113648 31.17156038084794, 121.2173269227296 31.17156038084794))",4,58184.24596961081,1,510215.57984360855,424321.4983781488,47785.78574982109,0,1142.8331663964093,49,1,1
"POLYGON ((121.2173269227296 31.2023000970058, 121.2173269227296 31.23302982750743, 121.1813943113648 31.23302982750743, 121.1813943113648 31.2023000970058, 121.2173269227296 31.2023000970058))",8,55645.99620008827,0,422542.5202623772,115169.10444089196,45421.587016040656,0,0.0,46,1,1
"POLYGON ((121.2173269227296 31.23302982750743, 121.2173269227296 31.26374956675991, 121.1813943113648 31.26374956675991, 121.1813943113648 31.23302982750743, 121.2173269227296 31.23302982750743))",2,47682.05923924488,1,213408.10119817805,0.0,319934.77322651,0,0.0,52,1,1
"POLYGON ((121.2173269227296 31.26374956675991, 121.2173269227296 31.29445930918367, 121.1813943113648 31.29445930918367, 121.1813943113648 31.26374956675991, 121.2173269227296 31.26374956675991))",16,65221.16478963164,8,2121538.454268598,181261.05138622803,96314.07741200714,0,0.0,57,1,2
"POLYGON ((121.2173269227296 31.29445930918367, 121.2173269227296 31.32515904921241, 121.1813943113648 31.32515904921241, 121.1813943113648 31.29445930918367, 121.2173269227296 31.29445930918367))",8,43065.32282883575,0,595035.6293201611,0.0,131233.71637118055,0,0.0,58,1,1
"POLYGON ((121.2173269227296 31.32515904921241, 121.2173269227296 31.35584878129317, 121.1813943113648 31.35584878129317, 121.1813943113648 31.32515904921241, 121.2173269227296 31.32515904921241))",10,71604.85950158264,0,88494.57541988837,0.0,612481.2731227757,0,0.0,46,1,1
"POLYGON ((121.2173269227296 31.35584878129317, 121.2173269227296 31.38652849988624, 121.1813943113648 31.38652849988624, 121.1813943113648 31.35584878129317, 121.2173269227296 31.35584878129317))",0,39963.75206843828,0,12390.554592312352,0.0,0.0,0,0.0,42,1,1
"POLYGON ((121.2173269227296 31.38652849988624, 121.2173269227296 31.41719819946523, 121.1813943113648 31.41719819946523, 121.1813943113648 31.38652849988624, 121.2173269227296 31.38652849988624))",0,51780.65310115747,0,2102110.9513423103,0.0,53701.15041956901,0,0.0,50,1,1
"POLYGON ((121.2173269227296 31.41719819946523, 121.2173269227296 31.44785787451704, 121.1813943113648 31.44785787451704, 121.1813943113648 31.41719819946523, 121.2173269227296 31.41719819946523))",0,48014.93953978887,0,0.0,0.0,4464233.225745489,0,0.0,47,1,1
"POLYGON ((121.2173269227296 31.44785787451704, 121.2173269227296 31.47850751954186, 121.1813943113648 31.47850751954186, 121.1813943113648 31.44785787451704, 121.2173269227296 31.44785787451704))",0,27470.94589597517,0,1092806.651147805,0.0,534823.5055288973,0,0.0,11,1,1
"POLYGON ((121.2173269227296 31.47850751954186, 121.2173269227296 31.50914712905314, 121.1813943113648 31.50914712905314, 121.1813943113648 31.47850751954186, 121.2173269227296 31.47850751954186))",0,35066.18848941736,0,158445.91550136195,0.0,3274394.216642239,0,0.0,3,1,1
"POLYGON ((121.2532595340943 30.98691269999999, 121.2532595340943 31.01771221189863, 121.2173269227296 31.01771221189863, 121.2173269227296 30.98691269999999, 121.2532595340943 30.98691269999999))",1,57283.85828106306,4,2458352.00371107,13953.281843756597,8652.01440734506,2,0.0,127,1,1
"POLYGON ((121.2532595340943 31.01771221189863, 121.2532595340943 31.04850177197812, 121.2173269227296 31.04850177197812, 121.2173269227296 31.01771221189863, 121.2532595340943 31.01771221189863))",24,108039.56281110228,7,3717338.795908548,156243.7278734838,2558634.853811106,2,253.8702735794716,132,2,1
"POLYGON ((121.2532595340943 31.04850177197812, 121.2532595340943 31.07928137456562, 121.2173269227296 31.07928137456562, 121.2173269227296 31.04850177197812, 121.2532595340943 31.04850177197812))",21,60374.81129623005,3,3286143.458510359,4985607.831320602,248159.1840020581,0,2550.461942536692,97,5,5
"POLYGON ((121.2532595340943 31.07928137456562, 121.2532595340943 31.11005101400166, 121.2173269227296 31.11005101400166, 121.2173269227296 31.07928137456562, 121.2532595340943 31.07928137456562))",0,58225.158967376185,2,2032342.5645116707,0.0,1456516.8740936324,0,3124.4864240913003,96,10,9
"POLYGON ((121.2532595340943 31.11005101400166, 121.2532595340943 31.14081068464005, 121.2173269227296 31.14081068464005, 121.2173269227296 31.11005101400166, 121.2532595340943 31.11005101400166))",0,42931.325580074175,2,3623393.257209212,0.0,15026.361275690526,0,2616.838680393852,87,8,15
"POLYGON ((121.2532595340943 31.14081068464005, 121.2532595340943 31.17156038084794, 121.2173269227296 31.17156038084794, 121.2173269227296 31.14081068464005, 121.2532595340943 31.14081068464005))",19,62821.829119620896,239,1540071.8911453185,447295.74789219856,130109.72396922502,1,7232.847509235464,44,6,2
"POLYGON ((121.2532595340943 31.17156038084794, 121.2532595340943 31.2023000970058, 121.2173269227296 31.2023000970058, 121.2173269227296 31.17156038084794, 121.2532595340943 31.17156038084794))",4,73234.09636972888,0,714306.7192819592,0.0,25788.250337189973,2,876.6764703216887,110,8,14
"POLYGON ((121.2532595340943 31.2023000970058, 121.2532595340943 31.23302982750743, 121.2173269227296 31.23302982750743, 121.2173269227296 31.2023000970058, 121.2532595340943 31.2023000970058))",0,86383.11419591962,0,170845.20950068807,447796.99035039794,11505.914217413349,0,889.8468725822568,55,3,1
"POLYGON ((121.2532595340943 31.23302982750743, 121.2532595340943 31.26374956675991, 121.2173269227296 31.26374956675991, 121.2173269227296 31.23302982750743, 121.2532595340943 31.23302982750743))",7,61124.90567658556,1,1351192.6846590084,0.0,0.0,0,0.0,62,1,4
"POLYGON ((121.2532595340943 31.26374956675991, 121.2532595340943 31.29445930918367, 121.2173269227296 31.29445930918367, 121.2173269227296 31.26374956675991, 121.2532595340943 31.26374956675991))",18,67705.26780703264,1,1514057.981510655,0.0,344583.4461135284,0,0.0,39,3,3
"POLYGON ((121.2532595340943 31.29445930918367, 121.2532595340943 31.32515904921241, 121.2173269227296 31.32515904921241, 121.2173269227296 31.29445930918367, 121.2532595340943 31.29445930918367))",7,53576.029847119775,0,113438.81241907856,0.0,152267.0848977723,0,811.2379207831875,39,1,1
"POLYGON ((121.2532595340943 31.32515904921241, 121.2532595340943 31.35584878129317, 121.2173269227296 31.35584878129317, 121.2173269227296 31.32515904921241, 121.2532595340943 31.32515904921241))",4,85408.54025320869,1,932456.4097792422,0.0,0.0,0,0.0,83,13,16
"POLYGON ((121.2532595340943 31.35584878129317, 121.2532595340943 31.38652849988624, 121.2173269227296 31.38652849988624, 121.2173269227296 31.35584878129317, 121.2532595340943 31.35584878129317))",8,119657.62330843593,9,451595.898815524,9690.543863254848,136641.3918477287,0,2178.1653403701525,147,25,23
"POLYGON ((121.2532595340943 31.38652849988624, 121.2532595340943 31.41719819946523, 121.2173269227296 31.41719819946523, 121.2173269227296 31.38652849988624, 121.2532595340943 31.38652849988624))",0,72345.59667471857,3,945729.4778094394,3371.4057668304267,178317.76729096612,0,148.72067197515508,119,4,4
"POLYGON ((121.2532595340943 31.41719819946523, 121.2532595340943 31.44785787451704, 121.2173269227296 31.44785787451704, 121.2173269227296 31.41719819946523, 121.2532595340943 31.41719819946523))",0,23518.970329949418,0,0.0,0.0,0.0,0,0.0,20,1,1
"POLYGON ((121.2532595340943 31.44785787451704, 121.2532595340943 31.47850751954186, 121.2173269227296 31.47850751954186, 121.2173269227296 31.44785787451704, 121.2532595340943 31.44785787451704))",0,15010.703836382512,0,47473.67149384003,0.0,0.0,0,0.0,44,1,1
"POLYGON ((121.2532595340943 31.47850751954186, 121.2532595340943 31.50914712905314, 121.2173269227296 31.50914712905314, 121.2173269227296 31.47850751954186, 121.2532595340943 31.47850751954186))",0,14738.259809387531,0,0.0,0.0,1023257.5454717572,0,0.0,2,1,1
"POLYGON ((121.2891921454591 30.98691269999999, 121.2891921454591 31.01771221189863, 121.2532595340943 31.01771221189863, 121.2532595340943 30.98691269999999, 121.2891921454591 30.98691269999999))",0,77986.30604064933,5,1626458.6503828308,181491.7302126581,3561076.9478494897,0,71.13910938368764,75,1,1
"POLYGON ((121.2891921454591 31.01771221189863, 121.2891921454591 31.04850177197812, 121.2532595340943 31.04850177197812, 121.2532595340943 31.01771221189863, 121.2891921454591 31.01771221189863))",1,77989.993497268,1,81586.01543353482,0.0,11145123.321289698,0,0.0,62,1,1
"POLYGON ((121.2891921454591 31.04850177197812, 121.2891921454591 31.07928137456562, 121.2532595340943 31.07928137456562, 121.2532595340943 31.04850177197812, 121.2891921454591 31.04850177197812))",19,63904.73582831796,0,906089.6330121204,1243997.362348042,3927146.489595893,0,2119.567079139536,43,1,1
"POLYGON ((121.2891921454591 31.07928137456562, 121.2891921454591 31.11005101400166, 121.2532595340943 31.11005101400166, 121.2532595340943 31.07928137456562, 121.2891921454591 31.07928137456562))",49,63651.78814899291,3,2474975.013763272,36604.073939258014,948783.7837996156,0,5085.118327397655,79,5,5
"POLYGON ((121.2891921454591 31.11005101400166, 121.2891921454591 31.14081068464005, 121.2532595340943 31.14081068464005, 121.2532595340943 31.11005101400166, 121.2891921454591 31.11005101400166))",0,42872.430918195256,4,3310567.115782263,21506.2850914779,2241670.503133596,0,0.0,81,19,14
"POLYGON ((121.2891921454591 31.14081068464005, 121.2891921454591 31.17156038084794, 121.2532595340943 31.17156038084794, 121.2532595340943 31.14081068464005, 121.2891921454591 31.14081068464005))",2,97130.08169783824,6,2630696.4075353662,124848.40720222812,2682330.771950435,0,17295.5719395214,54,50,54
"POLYGON ((121.2891921454591 31.17156038084794, 121.2891921454591 31.2023000970058, 121.2532595340943 31.2023000970058, 121.2532595340943 31.17156038084794, 121.2891921454591 31.17156038084794))",32,151167.0860498818,11,2382479.3299202523,145354.8045830446,280787.8537196508,3,13071.249682781783,108,45,55
"POLYGON ((121.2891921454591 31.2023000970058, 121.2891921454591 31.23302982750743, 121.2532595340943 31.23302982750743, 121.2532595340943 31.2023000970058, 121.2891921454591 31.2023000970058))",20,97704.79604117438,22,2103192.366894392,33241.36030009156,1057509.5424449898,5,1988.8899946988615,75,63,60
"POLYGON ((121.2891921454591 31.23302982750743, 121.2891921454591 31.26374956675991, 121.2532595340943 31.26374956675991, 121.2532595340943 31.23302982750743, 121.2891921454591 31.23302982750743))",5,42330.897079923554,11,219898.7873945969,134033.22410589032,0.0,0,5775.837445299183,44,11,13
"POLYGON ((121.2891921454591 31.26374956675991, 121.2891921454591 31.29445930918367, 121.2532595340943 31.29445930918367, 121.2532595340943 31.26374956675991, 121.2891921454591 31.26374956675991))",10,53372.843938761136,0,33117.54975684271,0.0,88676.87411169865,0,532.13149116284,32,19,26
"POLYGON ((121.2891921454591 31.29445930918367, 121.2891921454591 31.32515904921241, 121.2532595340943 31.32515904921241, 121.2532595340943 31.29445930918367, 121.2891921454591 31.29445930918367))",0,60849.77288486055,5,136899.683126006,0.0,0.0,0,17840.253812143936,57,18,16
"POLYGON ((121.2891921454591 31.32515904921241, 121.2891921454591 31.35584878129317, 121.2532595340943 31.35584878129317, 121.2532595340943 31.32515904921241, 121.2891921454591 31.32515904921241))",11,63054.36768669648,3,335805.47773610067,71492.31723671826,0.0,0,0.0,83,13,14
"POLYGON ((121.2891921454591 31.35584878129317, 121.2891921454591 31.38652849988624, 121.2532595340943 31.38652849988624, 121.2532595340943 31.35584878129317, 121.2891921454591 31.35584878129317))",2,65764.19366894354,7,188278.37785950568,0.0,0.0,0,0.0,82,6,12
"POLYGON ((121.2891921454591 31.38652849988624, 121.2891921454591 31.41719819946523, 121.2532595340943 31.41719819946523, 121.2532595340943 31.38652849988624, 121.2891921454591 31.38652849988624))",0,44579.691980785705,1,0.0,0.0,0.0,0,0.0,92,1,1
"POLYGON ((121.2891921454591 31.41719819946523, 121.2891921454591 31.44785787451704, 121.2532595340943 31.44785787451704, 121.2532595340943 31.41719819946523, 121.2891921454591 31.41719819946523))",0,24440.63260718853,0,0.0,0.0,0.0,0,0.0,40,1,1
"POLYGON ((121.2891921454591 31.44785787451704, 121.2891921454591 31.47850751954186, 121.2532595340943 31.47850751954186, 121.2532595340943 31.44785787451704, 121.2891921454591 31.44785787451704))",6,20991.25231371251,0,178669.307716795,0.0,0.0,0,0.0,35,1,1
"POLYGON ((121.2891921454591 31.47850751954186, 121.2891921454591 31.50914712905314, 121.2532595340943 31.50914712905314, 121.2532595340943 31.47850751954186, 121.2891921454591 31.47850751954186))",2,15619.452011346466,0,47540.59831256402,0.0,2287299.9046200463,0,0.0,20,1,1
"POLYGON ((121.3251247568239 30.98691269999999, 121.3251247568239 31.01771221189863, 121.2891921454591 31.01771221189863, 121.2891921454591 30.98691269999999, 121.3251247568239 30.98691269999999))",0,84108.15714392561,0,213069.8686812118,0.0,758062.2890247293,0,1158.7116734792514,39,1,1
"POLYGON ((121.3251247568239 31.01771221189863, 121.3251247568239 31.04850177197812, 121.2891921454591 31.04850177197812, 121.2891921454591 31.01771221189863, 121.3251247568239 31.01771221189863))",0,36151.65292802692,0,221500.26844444056,0.0,2521796.80654078,0,0.0,55,1,1
"POLYGON ((121.3251247568239 31.04850177197812, 121.3251247568239 31.07928137456562, 121.2891921454591 31.07928137456562, 121.2891921454591 31.04850177197812, 121.3251247568239 31.04850177197812))",4,86121.970417429,0,1009253.8709805168,0.0,2230281.214523,0,0.0,74,8,9
"POLYGON ((121.3251247568239 31.07928137456562, 121.3251247568239 31.11005101400166, 121.2891921454591 31.11005101400166, 121.2891921454591 31.07928137456562, 121.3251247568239 31.07928137456562))",2,81052.51600911493,1,1972347.406192048,0.0,1116673.7035282657,0,0.0,37,2,4
"POLYGON ((121.3251247568239 31.11005101400166, 121.3251247568239 31.14081068464005, 121.2891921454591 31.14081068464005, 121.2891921454591 31.11005101400166, 121.3251247568239 31.11005101400166))",18,95730.8776732582,17,2530388.928875352,144604.8896401596,5607828.026733358,1,0.0,93,151,179
"POLYGON ((121.3251247568239 31.14081068464005, 121.3251247568239 31.17156038084794, 121.2891921454591 31.17156038084794, 121.2891921454591 31.14081068464005, 121.3251247568239 31.14081068464005))",4,110173.31107560411,47,6392840.213931367,362148.5013238751,487262.9881738347,0,6382.255487756465,101,144,134
"POLYGON ((121.3251247568239 31.17156038084794, 121.3251247568239 31.2023000970058, 121.2891921454591 31.2023000970058, 121.2891921454591 31.17156038084794, 121.3251247568239 31.17156038084794))",41,210026.97815872595,21,2378559.8969540983,759335.6402813112,0.0,8,24467.254186900445,123,240,243
"POLYGON ((121.3251247568239 31.2023000970058, 121.3251247568239 31.23302982750743, 121.2891921454591 31.23302982750743, 121.2891921454591 31.2023000970058, 121.3251247568239 31.2023000970058))",93,154874.06161758193,30,1835536.5570398269,1281273.7264803103,143739.1596964396,1,12547.22679159298,100,352,372
"POLYGON ((121.3251247568239 31.23302982750743, 121.3251247568239 31.26374956675991, 121.2891921454591 31.26374956675991, 121.2891921454591 31.23302982750743, 121.3251247568239 31.23302982750743))",15,116165.71538942674,4,2087845.2003913133,0.0,174617.98963574294,1,26616.789526695506,66,816,821
"POLYGON ((121.3251247568239 31.26374956675991, 121.3251247568239 31.29445930918367, 121.2891921454591 31.29445930918367, 121.2891921454591 31.26374956675991, 121.3251247568239 31.26374956675991))",21,105746.563880974,10,908523.0545446326,205355.08145685404,173979.5111732717,2,17839.3920692708,88,417,467
"POLYGON ((121.3251247568239 31.29445930918367, 121.3251247568239 31.32515904921241, 121.2891921454591 31.32515904921241, 121.2891921454591 31.29445930918367, 121.3251247568239 31.29445930918367))",14,100741.31745249868,5,550202.6771978089,0.0,0.0,0,10557.276316144087,95,557,555
"POLYGON ((121.3251247568239 31.32515904921241, 121.3251247568239 31.35584878129317, 121.2891921454591 31.35584878129317, 121.2891921454591 31.32515904921241, 121.3251247568239 31.32515904921241))",4,47900.25477930779,0,0.0,0.0,0.0,0,0.0,43,2,1
"POLYGON ((121.3251247568239 31.35584878129317, 121.3251247568239 31.38652849988624, 121.2891921454591 31.38652849988624, 121.2891921454591 31.35584878129317, 121.3251247568239 31.35584878129317))",4,37180.89096375291,0,0.0,0.0,0.0,0,0.0,38,1,1
"POLYGON ((121.3251247568239 31.38652849988624, 121.3251247568239 31.41719819946523, 121.2891921454591 31.41719819946523, 121.2891921454591 31.38652849988624, 121.3251247568239 31.38652849988624))",12,55693.53186175833,0,0.0,0.0,0.0,0,0.0,17,1,1
"POLYGON ((121.3251247568239 31.41719819946523, 121.3251247568239 31.44785787451704, 121.2891921454591 31.44785787451704, 121.2891921454591 31.41719819946523, 121.3251247568239 31.41719819946523))",0,55861.23768091432,0,0.0,0.0,0.0,0,0.0,35,1,1
"POLYGON ((121.3251247568239 31.44785787451704, 121.3251247568239 31.47850751954186, 121.2891921454591 31.47850751954186, 121.2891921454591 31.44785787451704, 121.3251247568239 31.44785787451704))",0,29532.45593970347,0,53566.02253260448,0.0,0.0,0,0.0,40,1,1
"POLYGON ((121.3251247568239 31.47850751954186, 121.3251247568239 31.50914712905314, 121.2891921454591 31.50914712905314, 121.2891921454591 31.47850751954186, 121.3251247568239 31.47850751954186))",0,24078.52907727485,0,362579.4014956411,0.0,0.0,0,0.0,35,1,1
"POLYGON ((121.3610573681887 30.98691269999999, 121.3610573681887 31.01771221189863, 121.3251247568239 31.01771221189863, 121.3251247568239 30.98691269999999, 121.3610573681887 30.98691269999999))",1,60610.73048845545,0,1596.7750651888084,41315.47440333858,3387278.9394242703,0,0.0,47,1,1
"POLYGON ((121.3610573681887 31.01771221189863, 121.3610573681887 31.04850177197812, 121.3251247568239 31.04850177197812, 121.3251247568239 31.01771221189863, 121.3610573681887 31.01771221189863))",0,65033.47498089477,0,1853962.3699183064,283698.43955131853,477903.0770666321,0,0.0,32,1,1
"POLYGON ((121.3610573681887 31.04850177197812, 121.3610573681887 31.07928137456562, 121.3251247568239 31.07928137456562, 121.3251247568239 31.04850177197812, 121.3610573681887 31.04850177197812))",1,44320.29897444002,0,3153396.98553182,0.0,1731678.180412215,0,4607.946050774181,62,14,13
"POLYGON ((121.3610573681887 31.07928137456562, 121.3610573681887 31.11005101400166, 121.3251247568239 31.11005101400166, 121.3251247568239 31.07928137456562, 121.3610573681887 31.07928137456562))",7,82640.90482847088,0,7943497.688482298,0.0,214359.5457520837,0,1831.1971971958865,99,53,62
"POLYGON ((121.3610573681887 31.11005101400166, 121.3610573681887 31.14081068464005, 121.3251247568239 31.14081068464005, 121.3251247568239 31.11005101400166, 121.3610573681887 31.11005101400166))",7,131201.15072347896,15,4408023.570706696,198226.26030745747,151362.38744436024,1,0.0,88,256,249
"POLYGON ((121.3610573681887 31.14081068464005, 121.3610573681887 31.17156038084794, 121.3251247568239 31.17156038084794, 121.3251247568239 31.14081068464005, 121.3610573681887 31.14081068464005))",36,123253.02128785006,57,3811248.3313954296,531048.1002136494,470485.6548650072,4,6346.849488558886,92,718,755
"POLYGON ((121.3610573681887 31.17156038084794, 121.3610573681887 31.2023000970058, 121.3251247568239 31.2023000970058, 121.3251247568239 31.17156038084794, 121.3610573681887 31.17156038084794))",50,140526.44256928167,7,1028763.080116782,88674.75685160329,63596.52261531493,2,20990.665129120127,73,284,249
"POLYGON ((121.3610573681887 31.2023000970058, 121.3610573681887 31.23302982750743, 121.3251247568239 31.23302982750743, 121.3251247568239 31.2023000970058, 121.3610573681887 31.2023000970058))",40,159024.8166643664,92,2848492.3303069016,1259218.6319048852,135091.27812570086,1,38701.94008328604,90,858,924
"POLYGON ((121.3610573681887 31.23302982750743, 121.3610573681887 31.26374956675991, 121.3251247568239 31.26374956675991, 121.3251247568239 31.23302982750743, 121.3610573681887 31.23302982750743))",107,144766.32411707478,7,1230288.79480718,336712.0099235026,413969.8891560869,4,46429.18379845979,101,1128,1127
"POLYGON ((121.3610573681887 31.26374956675991, 121.3610573681887 31.29445930918367, 121.3251247568239 31.29445930918367, 121.3251247568239 31.26374956675991, 121.3610573681887 31.26374956675991))",47,105116.30028669396,2,908697.6664119322,0.0,0.0,3,22861.76467801081,79,999,1007
